user_id;USA;EU;ASIA;antiguedad;canciones_por_dia;generos_por_dia;dispositivos;proporcion_horas_de_trabajo;busquedas_por_dia;proporcion_canciones_de_moda;se_hizo_premium_0_1
38;0;0;1;62;46;3;1;0;17;0.008120334;0
39;0;0;1;168;42;2;3;0.651480877;4;0.005016148;1
40;0;0;1;126;44;4;2;0.515847719;0;0.009329107;0
41;0;0;1;113;65;4;1;0.7047008;0;0.012914702;0
42;1;0;0;20;27;3;3;0;4;0.034206198;0
43;1;0;0;222;20;3;1;0;6;0.025490371;0
44;0;0;1;109;31;3;3;0;0;0.018195219;0
45;1;0;0;285;50;4;2;0;0;0.015821234;0
46;1;0;0;334;28;4;1;0.370545951;18;0.022869773;1
47;1;0;0;118;32;3;1;0;4;0.022334535;0
48;1;0;0;147;44;4;1;0;0;0.006319388;0
49;0;1;0;165;45;4;3;0.404456546;0;0.015188611;0
50;0;1;0;50;11;2;1;0;8;0.085467567;0
51;1;0;0;9;22;3;2;0;3;0.030253484;0
52;1;0;0;348;20;2;2;0;16;0.027114875;0
53;0;0;1;101;18;2;3;0;0;0.013031746;0
54;1;0;0;240;40;4;2;0.912537043;11;0.024332738;1
55;0;1;0;230;41;3;3;0;0;0.004438391;0
56;1;0;0;350;31;3;5;0;16;0.007045267;0
57;1;0;0;158;32;3;5;0;19;0.015331759;1
58;0;1;0;278;19;2;1;0;13;0.004468296;0
59;0;1;0;248;85;6;4;0.359673243;0;0.00825319;0
60;0;1;0;49;43;3;1;0;5;0.00665986;0
61;0;0;1;39;24;3;1;0;17;0.023828113;0
62;0;0;1;74;28;3;2;0.696352361;9;0.031451705;0
63;1;0;0;358;24;3;1;0.520128604;2;0.014017899;0
64;0;1;0;182;54;4;2;0;13;0.004480179;0
65;0;1;0;29;42;4;1;0;1;0.011405008;0
66;1;0;0;17;20;3;2;0;13;0.040981549;0
67;0;1;0;51;21;1;2;0;14;0.021058337;0
68;0;1;0;72;23;3;2;0;19;0.029891948;0
69;1;0;0;276;27;4;1;0;0;0.025593122;0
70;1;0;0;217;32;3;3;0.413949619;4;0.004046377;0
71;1;0;0;213;50;5;6;0;0;0.008209299;0
72;1;0;0;349;34;3;2;0;7;0.009319888;0
73;0;0;1;129;33;2;2;0.432906049;0;0.023742691;0
74;0;0;1;149;44;3;2;0.000174407;6;0.003466663;0
75;0;1;0;24;31;2;2;0;1;0.017452802;0
76;1;0;0;141;89;6;1;0;0;0.003712836;0
77;0;0;1;74;33;3;1;0;2;0.00465513;0
78;0;1;0;64;35;2;1;0.288048281;11;0.012740096;0
79;1;0;0;233;65;6;1;0;8;0.005391185;0
80;0;0;1;144;38;3;3;0;15;0.015757631;0
81;0;0;1;104;10;2;6;0;15;0.098016812;0
82;0;1;0;4;37;2;2;0.707664808;0;0.014742353;0
83;1;0;0;136;25;3;3;0;1;0.020771022;0
84;0;0;1;159;18;1;1;0;2;0.047084988;0
85;0;1;0;190;70;4;3;0;8;0.007159572;0
86;0;0;1;226;24;1;2;0;10;0.001340966;0
87;0;0;1;148;80;4;5;0;16;0.001894472;1
88;0;0;1;131;18;2;1;0.101333633;1;0.031187696;0
89;0;0;1;202;22;2;2;0;3;0.025789966;0
90;0;1;0;318;43;3;3;0.329086751;11;0.00467378;0
91;1;0;0;245;34;3;4;0;12;0.018867181;0
92;0;1;0;226;28;3;2;0.022948416;5;0.012429407;0
93;0;0;1;224;49;4;2;0;4;0.010795738;0
94;1;0;0;142;43;4;1;0.766529207;14;0.002156019;1
95;1;0;0;21;28;3;1;0;15;0.026661219;0
96;0;1;0;176;34;2;3;0;0;0.003964031;0
97;1;0;0;89;31;4;2;0;15;0.000241967;0
98;0;1;0;115;56;4;4;0.346611461;20;0.005926711;1
99;0;1;0;228;61;4;3;0;15;0.007542776;0
100;0;1;0;170;37;3;2;0;2;0.003267773;0
101;1;0;0;193;19;3;1;0.271267518;10;0.000107993;1
102;0;0;1;46;33;4;1;0;13;0.004355809;0
103;1;0;0;303;20;4;1;0;12;0.044903884;0
104;0;0;1;167;23;3;2;0;6;0.020281773;0
105;1;0;0;94;46;5;3;0.928624335;11;0.012352902;1
106;1;0;0;319;3;2;5;0;9;0.01377567;0
107;1;0;0;114;31;3;3;0;16;0.005630205;1
108;1;0;0;283;44;3;3;0;0;0.015101846;0
109;0;1;0;158;45;4;4;0.74568034;3;0.009727714;1
110;0;1;0;286;43;2;2;0.186827238;17;0.0041865;0
111;1;0;0;115;23;4;3;0;19;0.004269687;1
112;1;0;0;235;75;6;2;0.709751791;12;0.012579187;1
113;0;0;1;128;46;3;1;0;4;0.012061072;0
114;1;0;0;225;38;3;3;0;17;0.016838505;1
115;1;0;0;286;23;4;1;0;13;0.041382078;0
116;0;1;0;281;72;5;7;0;20;0.007190228;1
117;1;0;0;218;70;5;3;0.672574306;18;0.010254976;1
118;0;0;1;20;45;3;3;0.585666132;5;0.02178947;0
119;1;0;0;259;61;5;3;0.35245566;0;0.005249831;0
120;0;1;0;200;67;5;2;0.943297213;15;0.014236749;1
121;0;1;0;35;52;4;1;0;17;0.002083659;0
122;0;1;0;99;58;3;2;0.982598622;19;0.004438394;1
123;1;0;0;152;84;6;3;0;18;0.009724686;1
124;0;0;1;209;70;4;3;0;20;0.008314905;1
125;0;1;0;265;14;2;3;0;5;0.061855388;0
126;1;0;0;164;55;4;3;0;0;0.002227629;0
127;0;0;1;55;37;3;1;0;5;0.017801517;0
128;0;1;0;3;23;2;3;0;0;0.040411683;0
129;0;0;1;232;45;3;2;0.731395575;11;0.013586402;1
130;0;1;0;282;26;2;3;0.694206252;9;0.018374812;1
131;0;1;0;158;41;4;1;0.720949727;19;0.012673379;1
132;0;1;0;121;57;4;1;0;0;0.008423558;0
133;0;1;0;101;11;1;3;0;0;0.019520559;0
134;0;1;0;85;62;4;2;0;0;0.015533734;0
135;1;0;0;261;75;6;1;0;7;0.012714367;0
136;1;0;0;269;27;4;5;0;19;0.022478342;1
137;0;0;1;220;19;2;3;0;0;0.03103105;0
138;0;1;0;299;64;5;2;0;7;0.012939982;0
139;0;0;1;58;29;3;2;0;17;0.010834804;0
140;0;0;1;56;35;2;1;0.039332912;0;0.007049789;0
141;1;0;0;34;76;6;1;0.694383999;4;0.004278525;0
142;0;1;0;279;22;2;2;0.117829599;1;0.029614886;0
143;0;1;0;260;30;3;3;0;13;0.002602454;0
144;0;0;1;119;46;4;2;0;14;0.020260918;0
145;0;0;1;103;29;1;2;0.190217715;5;0.003791987;0
146;0;0;1;59;20;2;3;0;18;0.02391504;0
147;1;0;0;45;46;4;2;0;11;0.011862022;0
148;0;0;1;59;46;3;1;0.768487432;0;0.003303896;0
149;1;0;0;156;32;4;1;0;18;0.019357271;1
150;0;0;1;237;91;6;2;0.71006556;20;0.003526866;1
151;1;0;0;293;46;5;2;0.345833182;4;0.01661166;0
152;0;1;0;192;46;4;6;0;0;0.020400423;0
153;1;0;0;138;18;3;5;0;0;0.035889441;0
154;1;0;0;285;48;4;1;0.746856966;0;0.006961556;0
155;0;1;0;228;32;3;3;0.647128841;5;0.000385588;1
156;0;0;1;78;17;2;1;0;14;0.040296337;0
157;1;0;0;45;43;4;2;0.916246953;7;0.014274392;1
158;1;0;0;320;36;5;2;0.840066726;0;0.023400179;0
159;0;0;1;102;22;1;6;0;8;0.015797078;0
160;0;0;1;5;27;2;3;0;5;0.02596201;0
161;1;0;0;229;35;4;3;0;4;0.016325464;0
162;1;0;0;22;49;4;3;0;0;0.016964612;0
163;0;0;1;204;34;4;2;0;14;0.027580901;0
164;0;0;1;240;13;2;1;0.144802226;20;0.069554828;1
165;0;0;1;66;24;2;3;0.241837641;1;0.009032293;0
166;0;1;0;8;45;3;3;0;14;0.021466437;0
167;1;0;0;226;37;4;2;0.55969227;2;0.004314868;0
168;1;0;0;74;38;4;1;0;5;0.018494427;0
169;0;1;0;176;49;4;1;0;0;0.014133098;0
170;0;1;0;130;31;3;3;0;0;0.028207326;0
171;1;0;0;151;35;4;1;0.834934946;3;0.015906837;1
172;0;0;1;102;77;5;2;0;12;0.011769884;0
173;0;1;0;116;33;3;1;0;16;0.012924914;0
174;0;0;1;46;37;3;1;0.650626192;8;0.002021944;0
175;1;0;0;7;23;3;3;0;1;0.003862556;0
176;0;1;0;74;61;4;2;0.928125989;6;0.002807364;1
177;0;0;1;169;27;3;2;0;10;0.033516397;0
178;0;1;0;116;73;5;5;0;13;0.01269795;0
179;1;0;0;337;49;4;3;0.954450018;10;0.014972416;1
180;1;0;0;95;35;4;2;0;18;0.02762495;1
181;0;1;0;319;54;3;1;0.932290296;11;0.014689166;1
182;0;0;1;199;30;2;1;0;10;0.03011366;0
183;0;1;0;206;45;2;3;0.113525584;16;0.021201747;1
184;0;0;1;202;25;3;3;0;6;0.014759294;0
185;0;0;1;130;37;2;2;0.758643957;14;0.009228308;1
186;0;0;1;90;27;3;2;0;0;0.002704797;0
187;0;0;1;86;19;2;3;0.4520068;0;0.042552529;0
188;1;0;0;322;60;6;2;0;4;0.001506314;0
189;1;0;0;156;14;3;2;0;12;0.004115729;0
190;0;1;0;127;51;3;2;0.901335771;20;0.015200603;1
191;1;0;0;78;72;5;3;0;5;0.002601785;0
192;0;0;1;156;15;3;1;0;7;0.032732495;0
193;1;0;0;0;43;3;1;0;14;0.006930423;0
194;1;0;0;326;32;3;2;0;3;0.002283599;0
195;1;0;0;237;14;2;2;0;20;0.057000882;1
196;0;0;1;111;19;2;5;0;11;0.041624736;0
197;0;1;0;89;68;5;3;0;19;0.007398118;1
198;0;0;1;162;63;5;2;0.939650585;0;0.011388003;1
199;0;1;0;21;90;6;2;0.627367913;19;0.007945777;1
200;0;1;0;58;99;5;2;0;9;0.00280871;0
201;0;0;1;10;18;1;1;0;13;0.042821844;0
202;1;0;0;31;24;3;3;0;12;0.038565794;0
203;0;1;0;159;24;2;2;0;20;0.027565523;1
204;0;0;1;80;53;3;1;0;1;0.013834624;0
205;0;1;0;135;55;4;3;0;14;0.003086014;0
206;0;1;0;237;53;5;2;0;19;0.004728578;1
207;0;1;0;283;61;3;2;0;13;0.002362492;0
208;0;0;1;160;62;4;3;0.73143224;4;0.006455441;1
209;0;1;0;103;46;4;2;0.753688943;2;0.018084958;0
210;1;0;0;308;3;2;3;0;5;0.125531133;0
211;0;1;0;284;59;4;3;0.890193548;0;0.00767336;0
212;0;0;1;9;23;3;1;0;8;0.030981096;0
213;0;0;1;240;46;4;1;0;15;0.004328618;0
214;1;0;0;41;73;5;2;0.776554772;7;0.012895609;1
215;0;0;1;28;57;5;1;0.478019809;18;0.008927909;0
216;0;0;1;62;71;5;3;0;5;0.000123875;0
217;0;0;1;117;14;3;2;0;4;0.070673953;0
218;1;0;0;204;61;6;1;0;9;0.014038103;0
219;1;0;0;97;28;3;3;0;0;0.030421776;0
220;0;1;0;138;29;2;2;0;0;0.033829458;0
221;0;0;1;170;57;5;1;0;18;0.017472419;1
222;0;0;1;155;36;3;1;0;9;0.02348228;0
223;0;1;0;85;24;2;1;0;6;0.022991239;0
224;0;1;0;165;34;2;2;0;9;0.00774084;0
225;0;0;1;66;33;3;3;0.998725088;16;0.015830035;1
226;1;0;0;227;64;5;3;0.344345588;6;0.000807032;1
227;0;0;1;142;22;3;3;0;12;0.004053102;0
228;0;1;0;127;30;2;3;0;0;0.022495885;0
229;0;0;1;97;30;3;3;0;8;0.029438568;0
230;0;1;0;32;20;3;3;0;16;0.021561767;0
231;1;0;0;109;48;5;3;0.735657001;9;0.001076137;1
232;1;0;0;89;44;5;2;0.440596673;13;0.009227603;1
233;0;0;1;46;34;2;3;0.520948931;3;0.00832768;0
234;0;0;1;228;27;3;7;0;0;0.030781708;0
235;0;1;0;213;44;4;2;0;0;0.014365983;0
236;0;0;1;168;100;5;4;0;9;0.000500265;0
237;0;1;0;283;34;3;3;0;19;0.01708387;0
238;0;0;1;153;89;5;1;0;10;0.000325134;0
239;0;0;1;80;18;1;2;0;0;0.050717938;0
240;1;0;0;245;39;3;1;0;18;0.016008247;1
241;1;0;0;184;7;2;1;0;4;0.05680997;0
242;0;1;0;296;64;4;3;0;7;0.005364469;0
243;0;0;1;108;54;3;4;0;13;0.01557553;0
244;0;0;1;105;23;3;3;0;9;0.042170931;0
245;0;1;0;101;23;2;3;0;11;0.039479195;0
246;0;0;1;14;45;3;2;0;11;0.012708826;0
247;0;1;0;210;20;1;2;0;5;0.019648691;0
248;1;0;0;201;75;6;2;0;4;0.009021312;0
249;1;0;0;111;21;4;3;0;6;0.013250476;0
250;0;1;0;15;33;2;3;0.320099085;6;0.003270021;0
251;0;0;1;139;30;3;1;0.502285034;2;0.017262668;0
252;0;1;0;44;30;3;2;0;16;0.031295713;0
253;0;1;0;161;30;3;3;0.626681132;9;0.011971661;1
254;0;0;1;82;22;1;1;0;11;0.037472456;0
255;0;0;1;222;43;3;1;0;2;0.00986036;0
256;0;0;1;232;36;3;6;0;14;0.005831672;0
257;0;0;1;133;43;3;1;0;9;0.016332417;0
258;0;0;1;91;30;3;3;0.331998927;19;0.024387226;1
259;0;0;1;222;82;4;4;0.952067252;17;0.003993193;1
260;0;0;1;114;19;2;1;0;0;0.043762528;0
261;1;0;0;72;62;5;3;0;5;0.006820425;0
262;0;1;0;160;48;4;2;0.441401403;5;0.009773385;0
263;1;0;0;114;10;2;3;0;0;0.092662914;0
264;0;1;0;157;48;3;1;0.561357263;14;0.020361986;1
265;1;0;0;75;40;5;1;0.799743587;12;0.001332246;1
266;0;0;1;168;41;4;4;0.417306511;0;0.007097395;0
267;0;0;1;141;18;2;1;0.039631701;14;0.009114534;0
268;0;0;1;41;21;1;1;0;8;0.021815906;0
269;0;1;0;84;60;3;1;0;0;0.006396046;0
270;0;1;0;40;29;1;3;0;18;0.009428639;0
271;0;1;0;171;29;2;3;0;0;0.032018995;0
272;0;1;0;270;43;4;3;0;0;0.009318627;0
273;1;0;0;263;94;6;3;0.814402407;16;0.007131887;1
274;0;1;0;133;52;4;2;0;19;0.006552872;1
275;1;0;0;326;52;4;7;0.291227395;4;0.002230782;0
276;1;0;0;308;34;3;3;0;6;0.016028232;0
277;0;1;0;212;22;2;1;0;5;0.018066275;0
278;0;1;0;75;30;2;2;0;20;0.01925612;0
279;0;1;0;272;36;2;3;0;9;0.02006043;0
280;1;0;0;156;56;6;3;0.975059131;17;0.010130614;1
281;1;0;0;4;67;6;2;0.240169644;8;0.004172649;0
282;1;0;0;333;44;4;2;0;14;0.016783141;0
283;0;0;1;64;103;6;2;0.981406765;6;0.007253282;1
284;1;0;0;273;25;3;3;0.33062842;1;0.014148147;0
285;1;0;0;223;88;7;3;0.421610728;0;0.00286461;0
286;1;0;0;126;25;3;2;0;17;0.01974583;1
287;0;1;0;170;55;4;3;0;1;0.004438243;0
288;1;0;0;288;28;3;3;0;1;0.017124477;0
289;0;1;0;227;36;3;1;0.456291935;0;0.007595889;0
290;0;0;1;220;58;4;5;0;0;0.007629715;0
291;0;1;0;300;47;3;6;0.944810269;2;0.021155015;1
292;1;0;0;286;61;4;2;0;19;0.015720445;1
293;0;1;0;66;60;5;3;0;8;0.016005424;0
294;0;0;1;40;39;3;2;0;19;0.009049697;0
295;1;0;0;176;94;7;6;0;9;0.004561863;1
296;0;1;0;4;45;3;2;0;4;0.00752049;0
297;0;1;0;14;56;3;1;0;1;0.007324927;0
298;0;1;0;156;20;2;3;0.081355433;10;0.027326109;0
299;1;0;0;72;23;2;1;0;0;0.008730923;0
300;0;1;0;29;63;4;1;0;0;0.008770825;0
301;0;0;1;96;34;2;1;0;10;0.02464225;0
302;1;0;0;137;59;4;3;0;4;0.000421092;0
303;0;0;1;205;76;5;1;0;12;0.00691916;0
304;0;0;1;124;48;3;1;0;1;0.003748754;0
305;1;0;0;141;12;2;3;0;7;0.040370692;0
306;1;0;0;135;46;5;4;0.952497965;16;0.015726647;1
307;0;1;0;161;86;5;3;0;6;0.000486208;0
308;0;0;1;26;29;2;3;0.185068825;13;0.012208378;0
309;0;1;0;64;37;2;3;0;13;0.02359054;0
310;1;0;0;300;47;4;2;0.915216396;7;0.012420186;1
311;0;0;1;120;29;2;1;0;0;0.022676977;0
312;0;0;1;66;32;4;3;0;10;0.023971315;0
313;1;0;0;308;31;3;1;0;14;0.006536221;0
314;1;0;0;331;36;4;1;0.429055818;17;0.023260576;1
315;1;0;0;101;29;4;2;0;4;0.009386993;0
316;0;0;1;121;62;4;1;0.790514311;6;0.003737624;1
317;0;1;0;191;30;3;2;0;15;0.026067526;1
318;0;1;0;128;35;3;2;0.715801862;16;0.010910863;1
319;0;1;0;27;22;3;3;0;13;0.031876237;0
320;0;0;1;23;73;5;2;0;20;0.001313324;0
321;0;1;0;124;29;3;2;0;0;0.018007114;0
322;0;1;0;245;32;2;1;0;20;0.024441364;1
323;0;0;1;74;18;2;3;0.272725417;20;0.001356677;1
324;1;0;0;97;45;4;2;0.878090761;0;0.004646825;1
325;1;0;0;236;22;3;1;0;0;0.045407107;0
326;0;0;1;202;17;2;2;0;19;0.04496574;1
327;0;1;0;205;20;3;3;0;0;0.037647657;0
328;0;0;1;74;39;3;1;0.417890243;0;0.019399545;0
329;1;0;0;219;95;7;2;0.768621421;16;0.001748275;1
330;0;0;1;166;19;2;2;0;0;0.038702108;0
331;0;1;0;244;28;3;6;0;0;0.008623427;0
332;0;0;1;240;38;2;3;0;15;0.015392207;0
333;0;0;1;48;28;3;3;0;2;0.018992112;0
334;0;0;1;107;65;5;3;0;0;0.01006309;0
335;0;0;1;72;66;4;3;0;10;0.014112036;0
336;1;0;0;216;40;4;3;0.391576334;8;0.01213657;1
337;0;0;1;76;16;2;1;0;10;0.052620355;0
338;1;0;0;179;27;3;2;0;7;0.003303526;0
339;0;1;0;121;33;2;1;0;19;0.018038005;0
340;1;0;0;312;44;4;1;0;6;0.014174852;0
341;0;1;0;218;20;2;1;0;0;0.024549224;0
342;0;1;0;173;14;1;2;0;0;0.031141264;0
343;0;1;0;119;55;3;3;0;12;0.01074688;0
344;0;0;1;89;72;4;3;0;0;0.004356412;0
345;1;0;0;214;34;4;6;0.626553435;14;0.014336537;1
346;1;0;0;216;29;4;7;0;6;0.023623286;0
347;1;0;0;89;12;2;1;0;0;0.02198655;0
348;0;0;1;121;63;5;2;0;4;0.015662614;0
349;0;0;1;176;30;3;1;0;5;0.031954165;0
350;1;0;0;289;43;5;5;0;0;0.017733968;0
351;1;0;0;135;54;5;6;0.685893277;5;0.005223503;1
352;1;0;0;6;28;3;3;0;18;0.035294804;0
353;1;0;0;302;48;4;2;0;12;0.01021823;0
354;0;0;1;110;80;5;1;0.038432733;0;0.011203643;0
355;1;0;0;41;34;4;1;0.768710367;0;0.00671294;0
356;0;1;0;155;21;2;2;0;5;0.010100785;0
357;1;0;0;307;24;3;2;0;7;0.003495385;0
358;1;0;0;283;28;3;2;0.949078656;6;0.017134168;1
359;1;0;0;336;17;2;2;0;3;0.033027338;0
360;1;0;0;169;35;5;2;0;7;0.010328537;0
361;0;0;1;33;39;2;1;0;0;0.00884653;0
362;0;1;0;34;45;3;2;0.901795735;0;0.020260873;0
363;0;0;1;101;59;3;2;0;7;0.0003802;0
364;1;0;0;109;39;5;2;0;13;0.009187608;0
365;0;0;1;177;28;3;1;0;0;0.009726004;0
366;1;0;0;154;68;5;2;0.978074276;7;0.01435777;1
367;1;0;0;155;27;3;5;0.194415821;0;0.005451765;0
368;0;0;1;40;38;4;2;0.111561455;0;0.025866059;0
369;0;0;1;171;19;2;3;0;14;0.016560288;0
370;1;0;0;296;47;3;3;0.107659639;0;0.020455527;0
371;1;0;0;176;53;5;1;0;3;0.004884007;0
372;0;1;0;259;79;6;1;0.003623803;18;0.012205474;0
373;1;0;0;195;47;4;2;0.703123684;1;0.014915379;1
374;0;0;1;173;48;3;3;0;18;0.009998009;1
375;0;0;1;44;77;5;1;0;5;0.001049625;0
376;0;1;0;214;32;3;3;0;7;0.013290519;0
377;1;0;0;38;25;4;3;0;19;0.029710698;0
378;0;1;0;215;45;4;4;0;12;0.011824828;0
379;0;0;1;240;17;1;2;0;7;0.057672116;0
380;0;1;0;177;26;1;1;0;17;0.002116811;1
381;0;1;0;194;40;4;2;0;0;0.018062504;0
382;0;0;1;113;86;6;3;0;20;0.006814056;1
383;0;0;1;89;43;4;1;0;17;0.010208796;0
384;0;1;0;273;83;5;2;0.785316199;0;0.005048753;0
385;0;0;1;208;26;3;1;0;7;0.009815825;0
386;0;0;1;181;49;2;1;0;0;0.012678767;0
387;0;1;0;6;37;3;3;0.801799191;6;0.024052472;0
388;1;0;0;18;19;4;3;0.091795445;13;0.002127152;0
389;0;0;1;111;70;5;6;0;3;0.012034965;0
390;0;0;1;172;21;2;1;0;6;0.0023549;0
391;0;0;1;201;40;3;2;0.088753626;15;0.002292021;0
392;0;1;0;25;21;2;1;0;4;0.002308957;0
393;0;0;1;178;61;5;1;0.518296474;5;0.010766756;0
394;0;1;0;264;32;2;1;0;4;0.00355053;0
395;1;0;0;85;20;2;1;0.762376197;9;0.034798034;1
396;0;0;1;223;23;1;1;0;11;0.006669096;0
397;0;0;1;67;59;3;1;0.392160275;0;0.001728983;0
398;0;0;1;56;22;2;3;0;8;0.028544321;0
399;0;0;1;175;32;3;5;0;13;0.027655213;1
400;1;0;0;322;43;5;4;0.578719189;0;0.013850401;0
401;0;1;0;247;82;5;3;0;14;0.002415725;0
402;0;0;1;116;59;4;2;0;0;0.005884698;0
403;1;0;0;16;33;4;3;0;16;0.027207058;0
404;0;1;0;77;43;3;1;0.627285429;17;0.006446366;1
405;0;1;0;261;60;4;5;0.358867288;13;0.016377867;1
406;0;1;0;58;99;7;1;0.764597811;14;0.008926522;1
407;0;1;0;203;26;2;3;0.189671361;12;0.020346118;1
408;1;0;0;318;40;5;2;0;0;0.003783056;0
409;0;0;1;201;20;3;1;0;9;0.020992934;0
410;1;0;0;218;24;4;2;0;20;0.017632178;1
411;0;0;1;67;20;1;2;0;18;0.028969806;0
412;0;0;1;33;70;4;3;0;7;0.009651707;0
413;1;0;0;275;81;7;3;0.488919699;10;0.009581218;1
414;0;1;0;199;15;1;1;0;8;0.02080387;0
415;0;0;1;149;30;3;3;0;5;0.000690659;0
416;1;0;0;35;33;3;2;0.335055543;3;0.024873223;0
417;0;1;0;309;57;4;2;0;0;0.000811252;0
418;1;0;0;192;45;5;3;0;2;0.0172745;0
419;0;0;1;43;54;4;2;0.618937736;9;0.003318886;0
420;0;0;1;138;46;3;3;0;9;0.019680392;0
421;1;0;0;212;64;6;1;0;0;0.009397686;0
422;1;0;0;18;43;4;1;0;14;0.007603747;0
423;1;0;0;308;11;3;3;0;8;0.066095818;0
424;0;0;1;44;52;3;1;0;0;0.017768767;0
425;0;0;1;234;16;3;6;0;1;0.050266595;0
426;0;0;1;232;68;5;7;0.647291424;13;0.004146187;1
427;1;0;0;276;33;3;3;0;15;0.022596789;0
428;0;0;1;108;32;3;2;0.134781374;7;0.017809226;0
429;1;0;0;189;27;4;2;0.020735186;8;0.034511668;0
430;1;0;0;317;39;3;1;0;16;0.010039622;0
431;0;0;1;211;27;2;3;0.502037434;0;0.022385455;0
432;1;0;0;291;57;5;5;0;20;0.0161259;1
433;0;1;0;317;22;2;2;0;0;0.040914267;0
434;0;1;0;36;21;3;1;0;8;0.027941917;0
435;1;0;0;258;66;5;3;0;0;0.008712447;0
436;0;0;1;46;30;2;2;0;3;0.015098643;0
437;0;0;1;75;40;2;2;0;0;0.008511862;0
438;0;1;0;309;22;1;2;0;17;0.01351448;0
439;1;0;0;327;40;4;3;0;0;0.014035794;0
440;1;0;0;237;67;5;2;0.122655837;18;0.007373835;1
441;0;1;0;252;39;4;3;0;3;0.018068112;0
442;0;1;0;85;16;3;1;0;12;0.000913439;0
443;1;0;0;184;66;5;4;0.587469895;17;0.014150071;1
444;1;0;0;312;19;2;7;0;0;0.038279833;0
445;0;0;1;194;35;2;1;0;6;0.019940453;0
446;0;1;0;174;14;1;1;0;4;0.041157309;0
447;1;0;0;254;31;4;3;0.976355647;18;0.018983976;1
448;1;0;0;286;22;3;4;0;8;0.008916635;0
449;1;0;0;286;52;5;1;0;18;0.011307221;0
450;0;0;1;176;30;3;3;0.8602653;9;0.001641459;1
451;1;0;0;241;65;5;3;0;1;0.010034574;0
452;0;1;0;237;46;4;1;0.737441319;2;0.007425596;0
453;0;1;0;77;21;2;3;0.346137502;10;0.02832095;0
454;1;0;0;255;9;3;1;0;15;0.024171437;0
455;0;0;1;198;39;3;3;0;15;0.001099124;0
456;0;1;0;126;30;3;1;0;0;0.008497614;0
457;1;0;0;18;77;7;3;0;15;0.009030909;0
458;1;0;0;104;17;2;2;0;12;0.00351702;0
459;0;0;1;96;29;2;2;0.59649085;0;0.003883052;0
460;0;1;0;264;2;1;2;0;0;0.325656392;0
461;1;0;0;298;65;6;2;0.161465747;5;0.010181122;0
462;0;0;1;31;50;3;1;0.83766966;0;0.017241299;0
463;0;0;1;63;71;5;2;0;4;0.013407414;0
464;1;0;0;278;30;3;1;0;14;0.024179739;0
465;1;0;0;223;41;5;1;0;5;0.01304123;0
466;0;1;0;286;23;2;2;0.400808154;0;0.022778235;0
467;0;1;0;2;33;2;2;0;0;0.030222949;0
468;0;0;1;204;55;3;2;0;6;0.012276852;0
469;0;1;0;91;36;2;1;0;0;0.008816029;0
470;0;1;0;54;23;3;1;0;0;0.038915858;0
471;0;1;0;199;33;3;3;0;0;0.026291118;0
